*ERROR* 	2014/06/28 - 10:44:31: 201352
*ERROR* 	2014/06/28 - 10:44:31: 0
*ERROR* 	2014/06/28 - 10:44:47: 20139
*ERROR* 	2014/06/28 - 10:44:47: 0
*ERROR* 	2014/06/28 - 10:44:59: 20151
*ERROR* 	2014/06/28 - 10:44:59: 0
*ERROR* 	2014/06/28 - 10:45:09: 20153
*ERROR* 	2014/06/28 - 10:45:09: 0
*ERROR* 	2014/06/28 - 10:45:20: 201474
*ERROR* 	2014/06/28 - 10:45:20: 0
*ERROR* 	2014/06/28 - 10:45:29: 201475
*ERROR* 	2014/06/28 - 10:45:29: 0
*ERROR* 	2014/06/28 - 10:45:40: 20128
*ERROR* 	2014/06/28 - 10:45:40: 0
*ERROR* 	2014/06/28 - 10:45:48: 201700
*ERROR* 	2014/06/28 - 10:45:48: 0
*ERROR* 	2014/06/28 - 10:45:56: 201648
*ERROR* 	2014/06/28 - 10:45:56: 0
*ERROR* 	2014/06/28 - 10:46:09: 201500
*ERROR* 	2014/06/28 - 10:46:09: 0
*ERROR* 	2014/06/28 - 10:46:20: 201651
*ERROR* 	2014/06/28 - 10:46:20: 0
*ERROR* 	2014/06/28 - 10:46:30: 203514
*ERROR* 	2014/06/28 - 10:46:30: 0
*ERROR* 	2014/06/28 - 10:46:42: 201319
*ERROR* 	2014/06/28 - 10:46:42: 0
*ERROR* 	2014/06/28 - 10:46:52: 20141
*ERROR* 	2014/06/28 - 10:46:52: 0
*ERROR* 	2014/06/28 - 10:47:01: 201368
*ERROR* 	2014/06/28 - 10:47:01: 0
*ERROR* 	2014/06/28 - 10:47:12: 1443
*ERROR* 	2014/06/28 - 10:47:12: 0
*ERROR* 	2014/06/28 - 10:47:21: 1442
*ERROR* 	2014/06/28 - 10:47:21: 0
*ERROR* 	2014/06/28 - 10:47:31: 20168
*ERROR* 	2014/06/28 - 10:47:31: 0
*ERROR* 	2014/06/28 - 10:47:41: 20169
*ERROR* 	2014/06/28 - 10:47:41: 0
*ERROR* 	2014/06/28 - 10:47:52: 20150
*ERROR* 	2014/06/28 - 10:47:52: 0
*ERROR* 	2014/06/28 - 10:48:01: 201513
*ERROR* 	2014/06/28 - 10:48:01: 0
*ERROR* 	2014/06/28 - 10:48:20: 20089
*ERROR* 	2014/06/28 - 10:48:20: 0
*ERROR* 	2014/06/28 - 10:48:32: 20103
*ERROR* 	2014/06/28 - 10:48:32: 0
*ERROR* 	2014/06/28 - 10:48:44: 20104
*ERROR* 	2014/06/28 - 10:48:44: 0
*ERROR* 	2014/06/28 - 10:48:57: 201547
*ERROR* 	2014/06/28 - 10:48:57: 0
*ERROR* 	2014/06/28 - 10:49:07: 201460
*ERROR* 	2014/06/28 - 10:49:07: 0
*ERROR* 	2014/06/28 - 10:49:18: 201461
*ERROR* 	2014/06/28 - 10:49:18: 0
*ERROR* 	2014/06/28 - 10:49:27: 201462
*ERROR* 	2014/06/28 - 10:49:27: 0
*ERROR* 	2014/06/28 - 10:49:36: 201463
*ERROR* 	2014/06/28 - 10:49:36: 0
*ERROR* 	2014/06/28 - 10:49:46: 4036
*ERROR* 	2014/06/28 - 10:49:46: 0
*ERROR* 	2014/06/28 - 10:49:55: 201538
*ERROR* 	2014/06/28 - 10:49:55: 0
*ERROR* 	2014/06/28 - 10:50:04: 2101
*ERROR* 	2014/06/28 - 10:50:04: 0
*ERROR* 	2014/06/28 - 10:50:13: 2100
*ERROR* 	2014/06/28 - 10:50:13: 0
*ERROR* 	2014/06/28 - 10:50:24: 2102
*ERROR* 	2014/06/28 - 10:50:24: 0
*ERROR* 	2014/06/28 - 10:50:33: 2103
*ERROR* 	2014/06/28 - 10:50:33: 0
*ERROR* 	2014/06/28 - 10:50:42: 20063
*ERROR* 	2014/06/28 - 10:50:42: 0
*ERROR* 	2014/06/28 - 10:50:52: 4984
*ERROR* 	2014/06/28 - 10:50:52: 0
*ERROR* 	2014/06/28 - 10:51:07: 201272
*ERROR* 	2014/06/28 - 10:51:07: 0
*ERROR* 	2014/06/28 - 10:51:19: 20109
*ERROR* 	2014/06/28 - 10:51:19: 0
*ERROR* 	2014/06/28 - 10:51:54: 201437
*ERROR* 	2014/06/28 - 10:51:54: 0
